state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt
------------------------------------------------------------------
uhfref/1/1  2.078      -  0.982  1.956  1.092  0.082  1.090 -0.000
uhfref/2/1  2.092      -  0.982  1.972  1.058  0.054  1.056  0.034
uhfref/1/2  2.355      -  0.975  1.808  1.453  0.345  1.359 -0.292
uhfref/1/3  2.593      -  0.824  1.040  1.083  0.072  1.077 -0.028
uhfref/1/4  3.028      -  0.976  1.992  1.019  0.019  1.014  0.069
uhfref/2/2  3.031      -  0.976  1.982  1.037  0.036  1.034  0.050
uhfref/2/3  3.285      -  0.809  1.616  1.495  0.639  1.441  0.580
uhfref/1/5  3.672      -  0.854  1.038  1.079  0.061  1.065 -0.007
uhfref/2/4  3.712      -  0.929  1.852  1.348  0.272  1.300 -0.204
uhfref/1/6  3.788      -  0.941  1.840  1.367  0.074  1.104  0.015
uhfref/1/7  3.961      -  0.822  1.368  1.870  0.082  1.164  0.002
uhfref/1/8  3.969      -  0.949  2.034  0.969 -0.162  0.796  0.270
uhfref/1/9  4.212      -  0.797  1.099  1.217  0.158  1.190 -0.050
uhfref/2/5  4.331      -  0.890  1.697  1.533  0.554  1.408 -0.515
uhfref/2/6  4.513      -  0.961  1.955  1.094  0.086  1.094 -0.000
